PRISM Time Series Data
Location:  Lat: 35.9989   Lon: -106.4144   Elev: 2878m
"Climate variables: tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 800m
Period: 1984-01-01 - 2024-06-30
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Jun-19
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,tmin (degrees C),tmean (degrees C),tmax (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01-01,-7.9,-3.2,1.6,0.00,3.16
1984-01-02,-10.0,-5.5,-0.9,0.32,2.71
1984-01-03,-12.9,-6.4,0.0,0.00,2.33
1984-01-04,-7.6,-0.8,6.1,0.65,5.04
1984-01-05,-5.7,1.1,8.0,1.10,6.96
1984-01-06,-5.5,1.6,8.7,1.07,6.76
1984-01-07,-5.5,1.1,7.6,0.82,5.81
1984-01-08,-6.8,0.2,7.3,0.56,5.63
1984-01-09,-7.2,0.0,7.2,0.66,6.47
1984-01-10,-10.2,-4.4,1.3,0.42,3.63
1984-01-11,-8.8,-3.2,2.4,1.17,5.06
1984-01-12,-10.4,-5.5,-0.7,0.12,3.15
1984-01-13,-12.4,-7.7,-3.0,0.40,2.81
1984-01-14,-14.6,-8.7,-2.8,0.00,1.90
1984-01-15,-15.2,-10.0,-4.9,0.00,1.45
1984-01-16,-15.5,-9.4,-3.2,0.49,3.14
1984-01-17,-15.3,-10.0,-4.8,0.23,1.19
1984-01-18,-21.6,-14.9,-8.1,0.13,1.04
1984-01-19,-20.9,-14.6,-8.2,0.41,2.14
1984-01-20,-17.7,-10.6,-3.5,0.42,3.02
1984-01-21,-17.4,-10.3,-3.2,0.88,3.36
1984-01-22,-13.6,-7.2,-0.8,1.05,3.88
1984-01-23,-16.5,-10.2,-3.8,0.04,2.44
1984-01-24,-14.7,-7.8,-0.9,0.31,3.52
1984-01-25,-10.7,-4.0,2.8,0.70,4.33
1984-01-26,-8.5,-1.5,5.4,1.08,5.91
1984-01-27,-9.8,-4.1,1.7,0.22,2.92
1984-01-28,-9.4,-2.4,4.6,0.45,5.66
1984-01-29,-7.9,-0.5,7.0,0.90,7.74
1984-01-30,-8.2,-0.5,7.1,1.41,8.34
1984-01-31,-9.3,-1.7,5.9,1.07,6.56
1984-02-01,-7.9,-0.3,7.2,1.24,8.07
1984-02-02,-8.5,-0.0,8.5,1.64,9.08
1984-02-03,-8.6,-2.1,4.5,1.65,7.11
1984-02-04,-9.5,-2.2,5.0,1.13,6.98
1984-02-05,-8.6,-2.5,3.7,1.15,6.15
1984-02-06,-9.7,-1.7,6.3,0.88,7.19
1984-02-07,-7.9,-0.4,7.0,1.04,7.89
1984-02-08,-9.6,-3.0,3.7,0.33,5.55
1984-02-09,-11.9,-5.6,0.8,0.36,3.96
1984-02-10,-9.2,-2.5,4.2,0.74,6.45
1984-02-11,-8.6,-2.1,4.3,0.84,6.47
1984-02-12,-14.1,-9.1,-4.0,0.51,2.75
1984-02-13,-11.6,-4.9,1.8,0.94,5.00
1984-02-14,-6.8,-0.2,6.3,0.00,5.64
1984-02-15,-7.8,-2.6,2.6,0.52,4.51
1984-02-16,-11.9,-4.8,2.2,0.80,5.57
1984-02-17,-10.0,-2.6,4.7,0.57,6.22
1984-02-18,-12.3,-6.8,-1.3,0.00,3.38
1984-02-19,-15.1,-8.3,-1.5,0.12,3.29
1984-02-20,-16.3,-10.3,-4.2,0.01,2.22
1984-02-21,-15.1,-8.3,-1.4,0.64,3.74
1984-02-22,-8.1,-0.4,7.2,1.73,9.03
1984-02-23,-9.2,-2.0,5.2,1.24,7.17
1984-02-24,-12.5,-6.1,0.4,0.96,5.27
1984-02-25,-9.3,-3.0,3.4,1.54,6.30
1984-02-26,-10.2,-5.0,0.3,0.57,4.74
1984-02-27,-15.7,-9.0,-2.4,0.21,3.20
1984-02-28,-14.0,-6.5,0.9,0.81,5.17
1984-02-29,-11.1,-1.9,7.2,1.05,7.70
1984-03-01,-8.6,-0.4,7.8,1.31,8.43
1984-03-02,-7.4,0.4,8.1,1.12,8.42
1984-03-03,-8.1,-0.7,6.6,0.94,7.15
1984-03-04,-9.2,-3.1,3.0,0.70,5.52
1984-03-05,-14.4,-9.3,-4.2,0.19,1.98
1984-03-06,-17.8,-11.1,-4.4,0.08,2.89
1984-03-07,-15.8,-9.0,-2.2,0.31,3.31
1984-03-08,-12.9,-3.7,5.6,0.67,7.00
1984-03-09,-9.8,-1.8,6.1,0.67,6.58
1984-03-10,-9.3,-1.4,6.5,0.03,6.91
1984-03-11,-8.7,-0.9,6.9,0.06,6.40
1984-03-12,-8.9,-2.1,4.7,0.02,5.17
1984-03-13,-9.2,-1.1,7.0,0.00,7.06
1984-03-14,-6.3,1.9,10.2,0.33,9.29
1984-03-15,-2.6,2.9,8.4,1.09,7.36
1984-03-16,-2.7,2.9,8.5,1.02,6.96
1984-03-17,-5.4,1.2,7.8,1.13,8.21
1984-03-18,-6.6,1.3,9.3,0.88,9.41
1984-03-19,-9.0,-3.5,2.0,0.31,3.42
1984-03-20,-9.4,-1.2,6.9,0.29,7.27
1984-03-21,-6.0,2.1,10.2,1.26,9.52
1984-03-22,-3.1,3.9,10.9,1.75,9.66
1984-03-23,-8.7,-2.7,3.2,0.00,4.15
1984-03-24,-9.2,-3.1,3.0,0.12,4.43
1984-03-25,-5.9,1.3,8.5,0.82,7.97
1984-03-26,-9.8,-2.2,5.4,0.04,6.19
1984-03-27,-8.7,-3.7,1.3,0.00,2.53
1984-03-28,-10.4,-6.4,-2.4,0.00,1.27
1984-03-29,-12.9,-5.9,1.2,0.01,4.39
1984-03-30,-6.4,-1.0,4.4,0.45,5.32
1984-03-31,-8.1,-3.7,0.7,0.00,2.18
1984-04-01,-10.5,-3.0,4.6,0.00,4.95
1984-04-02,-9.4,-3.5,2.4,0.01,3.84
