PRISM Time Series Data
Location:  Lat: 36.1471   Lon: -105.7391   Elev: 2361m
"Climate variables: tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 800m
Period: 1984-01-01 - 2024-06-30
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Jun-19
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,tmin (degrees C),tmean (degrees C),tmax (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01-01,-6.1,-0.4,5.3,0.00,4.13
1984-01-02,-6.8,-1.7,3.5,0.31,3.40
1984-01-03,-12.6,-4.6,3.4,0.00,4.06
1984-01-04,-8.9,-1.6,5.7,0.17,4.45
1984-01-05,-7.3,1.1,9.5,0.38,7.32
1984-01-06,-6.0,2.5,11.0,0.58,8.03
1984-01-07,-5.4,2.4,10.2,0.50,7.05
1984-01-08,-6.3,1.7,9.7,0.44,6.40
1984-01-09,-6.1,1.8,9.7,0.10,7.36
1984-01-10,-7.9,-1.2,5.5,0.05,4.37
1984-01-11,-8.4,-2.6,3.1,0.28,4.43
1984-01-12,-8.2,-2.2,3.7,0.00,4.36
1984-01-13,-9.7,-4.1,1.5,0.06,3.23
1984-01-14,-12.0,-5.5,1.1,0.00,2.55
1984-01-15,-12.7,-6.9,-1.0,0.00,2.24
1984-01-16,-13.0,-6.3,0.4,0.39,3.48
1984-01-17,-11.9,-6.2,-0.5,0.28,2.22
1984-01-18,-20.4,-12.8,-5.2,0.00,1.04
1984-01-19,-20.6,-12.3,-4.0,0.20,2.82
1984-01-20,-17.8,-9.1,-0.4,0.33,3.93
1984-01-21,-17.2,-9.7,-2.1,0.44,3.27
1984-01-22,-14.7,-7.1,0.7,0.34,3.63
1984-01-23,-15.6,-7.7,0.2,0.00,3.36
1984-01-24,-14.7,-5.3,4.1,0.01,5.34
1984-01-25,-10.9,-2.4,6.1,0.00,5.66
1984-01-26,-8.5,-0.5,7.4,0.65,6.41
1984-01-27,-8.2,-1.6,4.9,0.13,4.13
1984-01-28,-9.1,-0.6,7.9,0.00,7.06
1984-01-29,-7.5,0.9,9.2,0.00,8.25
1984-01-30,-9.2,-0.1,9.0,0.20,8.22
1984-01-31,-10.5,-1.2,8.1,0.00,7.20
1984-02-01,-10.1,-0.2,9.7,0.16,9.56
1984-02-02,-11.0,0.3,11.6,0.57,10.94
1984-02-03,-8.5,0.3,9.0,0.94,9.35
1984-02-04,-10.9,-1.6,7.7,0.11,8.28
1984-02-05,-8.6,-0.7,7.3,0.49,7.78
1984-02-06,-9.6,0.5,10.7,0.34,10.46
1984-02-07,-8.5,1.1,10.6,0.30,10.26
1984-02-08,-7.4,0.8,9.0,0.36,8.78
1984-02-09,-9.4,-1.0,7.5,0.00,7.18
1984-02-10,-8.5,0.0,8.5,0.24,9.31
1984-02-11,-6.1,1.3,8.6,0.77,9.73
1984-02-12,-10.5,-4.2,2.2,0.74,4.81
1984-02-13,-8.7,-1.5,5.7,1.23,7.30
1984-02-14,-5.7,2.2,10.1,0.38,8.91
1984-02-15,-3.9,1.9,7.7,0.98,7.94
1984-02-16,-10.0,-1.4,7.2,0.25,7.77
1984-02-17,-7.9,0.7,9.3,0.75,9.36
1984-02-18,-7.8,-1.2,5.3,0.44,6.27
1984-02-19,-10.6,-3.8,2.9,0.48,4.79
1984-02-20,-13.6,-6.2,1.3,0.11,3.92
1984-02-21,-12.9,-4.6,3.8,0.49,5.19
1984-02-22,-8.6,0.9,10.4,0.70,10.92
1984-02-23,-7.8,1.1,10.0,0.78,10.58
1984-02-24,-9.8,-2.3,5.2,0.69,7.28
1984-02-25,-6.6,0.5,7.5,2.27,8.82
1984-02-26,-6.2,0.1,6.4,0.94,8.20
1984-02-27,-12.9,-4.6,3.6,0.25,5.31
1984-02-28,-12.2,-3.5,5.2,0.62,7.14
1984-02-29,-11.2,-1.0,9.3,0.87,9.07
1984-03-01,-8.1,1.7,11.6,1.15,11.31
1984-03-02,-6.6,2.6,11.8,1.19,10.95
1984-03-03,-6.3,2.2,10.7,1.63,10.35
1984-03-04,-5.9,0.8,7.6,1.37,8.17
1984-03-05,-11.4,-6.3,-1.1,0.13,2.34
1984-03-06,-14.3,-6.8,0.7,0.13,4.31
1984-03-07,-12.9,-5.9,1.1,0.44,4.21
1984-03-08,-11.0,-1.1,8.9,0.73,9.01
1984-03-09,-8.1,0.6,9.3,1.00,8.83
1984-03-10,-7.3,1.9,11.0,0.57,10.34
1984-03-11,-6.0,2.7,11.4,0.54,9.72
1984-03-12,-5.5,1.6,8.8,0.44,7.70
1984-03-13,-5.7,2.8,11.4,0.61,10.72
1984-03-14,-3.7,5.2,14.1,1.08,12.73
1984-03-15,0.2,6.9,13.5,1.96,11.69
1984-03-16,0.7,6.7,12.7,2.10,10.70
1984-03-17,-3.2,4.5,12.1,1.73,11.58
1984-03-18,-5.3,4.6,14.5,1.14,14.36
1984-03-19,-6.5,-1.9,2.7,0.35,3.30
1984-03-20,-6.1,2.4,10.7,0.60,9.44
1984-03-21,-4.2,5.1,14.4,1.74,13.39
1984-03-22,-0.2,8.0,16.3,2.80,15.55
1984-03-23,-6.1,0.5,7.1,0.00,5.62
1984-03-24,-5.7,-0.4,5.0,0.54,5.08
1984-03-25,-2.1,5.2,12.4,1.88,10.97
1984-03-26,-6.2,2.1,10.4,0.84,9.59
1984-03-27,-3.3,0.9,5.2,0.61,4.52
1984-03-28,-7.6,-3.6,0.4,0.00,1.28
1984-03-29,-6.9,-1.5,3.9,0.29,4.81
1984-03-30,-2.1,3.0,8.0,1.24,7.14
1984-03-31,-6.2,-1.0,4.1,0.00,3.80
1984-04-01,-6.8,0.6,8.0,0.01,6.86
1984-04-02,-3.8,2.1,7.9,0.77,6.54
1984-04-03,-6.7,-1.2,4.4,0.38,4.92
1984-04-04,-7.9,0.2,8.3,0.39,7.99
1984-04-05,-7.6,2.3,12.2,1.19,11.71
1984-04-06,-3.2,6.3,15.8,2.03,15.20
1984-04-07,-1.3,7.3,15.8,1.60,15.70
1984-04-08,-2.0,5.2,12.4,0.01,8.72
1984-04-09,-0.7,7.3,15.3,1.00,13.44
1984-04-10,-3.5,4.4,12.3,1.02,10.65
